"id_afiliado","nombre","dni","telefono","email"
"1","Afiliado 1","3000001","111000001","afiliado1@mail.com"
"2","Afiliado 2","3000002","111000002","afiliado2@mail.com"
"3","Afiliado 3","3000003","111000003","afiliado3@mail.com"
"4","Afiliado 4","3000004","111000004","afiliado4@mail.com"
"5","Afiliado 5","3000005","111000005","afiliado5@mail.com"
"6","Afiliado 6","3000006","111000006","afiliado6@mail.com"
"7","Afiliado 7","3000007","111000007","afiliado7@mail.com"
"8","Afiliado 8","3000008","111000008","afiliado8@mail.com"
"9","Afiliado 9","3000009","111000009","afiliado9@mail.com"
"10","Afiliado 10","3000010","111000010","afiliado10@mail.com"
"11","Afiliado 11","3000011","111000011","afiliado11@mail.com"
"12","Afiliado 12","3000012","111000012","afiliado12@mail.com"
"13","Afiliado 13","3000013","111000013","afiliado13@mail.com"
"14","Afiliado 14","3000014","111000014","afiliado14@mail.com"
"15","Afiliado 15","3000015","111000015","afiliado15@mail.com"
"16","Afiliado 16","3000016","111000016","afiliado16@mail.com"
"17","Afiliado 17","3000017","111000017","afiliado17@mail.com"
"18","Afiliado 18","3000018","111000018","afiliado18@mail.com"
"19","Afiliado 19","3000019","111000019","afiliado19@mail.com"
"20","Afiliado 20","3000020","111000020","afiliado20@mail.com"
"21","Afiliado 21","3000021","111000021","afiliado21@mail.com"
"22","Afiliado 22","3000022","111000022","afiliado22@mail.com"
"23","Afiliado 23","3000023","111000023","afiliado23@mail.com"
"24","Afiliado 24","3000024","111000024","afiliado24@mail.com"
"25","Afiliado 25","3000025","111000025","afiliado25@mail.com"
"26","Afiliado 26","3000026","111000026","afiliado26@mail.com"
"27","Afiliado 27","3000027","111000027","afiliado27@mail.com"
"28","Afiliado 28","3000028","111000028","afiliado28@mail.com"
"29","Afiliado 29","3000029","111000029","afiliado29@mail.com"
"30","Afiliado 30","3000030","111000030","afiliado30@mail.com"
"31","Afiliado 31","3000031","111000031","afiliado31@mail.com"
"32","Afiliado 32","3000032","111000032","afiliado32@mail.com"
"33","Afiliado 33","3000033","111000033","afiliado33@mail.com"
"34","Afiliado 34","3000034","111000034","afiliado34@mail.com"
"35","Afiliado 35","3000035","111000035","afiliado35@mail.com"
"36","Afiliado 36","3000036","111000036","afiliado36@mail.com"
"37","Afiliado 37","3000037","111000037","afiliado37@mail.com"
"38","Afiliado 38","3000038","111000038","afiliado38@mail.com"
"39","Afiliado 39","3000039","111000039","afiliado39@mail.com"
"40","Afiliado 40","3000040","111000040","afiliado40@mail.com"
"41","Afiliado 41","3000041","111000041","afiliado41@mail.com"
"42","Afiliado 42","3000042","111000042","afiliado42@mail.com"
"43","Afiliado 43","3000043","111000043","afiliado43@mail.com"
"44","Afiliado 44","3000044","111000044","afiliado44@mail.com"
"45","Afiliado 45","3000045","111000045","afiliado45@mail.com"
"46","Afiliado 46","3000046","111000046","afiliado46@mail.com"
"47","Afiliado 47","3000047","111000047","afiliado47@mail.com"
"48","Afiliado 48","3000048","111000048","afiliado48@mail.com"
"49","Afiliado 49","3000049","111000049","afiliado49@mail.com"
"50","Afiliado 50","3000050","111000050","afiliado50@mail.com"
