"id_prestador","nombre","especialidad","contacto"
"1","Prestador 1","Traumatología","prestador1@clinica.com"
"2","Prestador 2","Traumatología","prestador2@clinica.com"
"3","Prestador 3","Traumatología","prestador3@clinica.com"
"4","Prestador 4","Traumatología","prestador4@clinica.com"
"5","Prestador 5","Traumatología","prestador5@clinica.com"
"6","Prestador 6","Traumatología","prestador6@clinica.com"
"7","Prestador 7","Traumatología","prestador7@clinica.com"
"8","Prestador 8","Traumatología","prestador8@clinica.com"
"9","Prestador 9","Traumatología","prestador9@clinica.com"
"10","Prestador 10","Traumatología","prestador10@clinica.com"
"11","Prestador 11","Traumatología","prestador11@clinica.com"
"12","Prestador 12","Traumatología","prestador12@clinica.com"
"13","Prestador 13","Traumatología","prestador13@clinica.com"
"14","Prestador 14","Traumatología","prestador14@clinica.com"
"15","Prestador 15","Traumatología","prestador15@clinica.com"
